pl_srcoldmsncev_x,pl_inqcnt2y_x,pl_inqcnt1m_x,acctno,lexid,pl_srcoldmsncev_y,pl_inqcnt2y_y,pl_inqcnt1m_y,o_lexid,company_id,date_added,flag,pl_srcoldmsncev_diff,pl_inqcnt2y_diff,pl_inqcnt1m_diff
179.0,16.0,2.0,436185721R8514,146866432327.0,176.0,14.0,0.0,146866432327,107571,2023-10-12 19:22:56,0,3.0,2.0,2.0
297.0,1.0,0.0,436185781R91333,113801107990.0,199.0,1.0,0.0,113801107990,107571,2023-10-14 15:05:01,0,98.0,0.0,0.0
175.0,0.0,0.0,436185691R252,192497970072.0,108.0,0.0,0.0,192497970072,107671,2023-10-12 17:21:13,0,67.0,0.0,0.0
173.0,12.0,1.0,436186211R308042,188770666587.0,118.0,11.0,0.0,188770666587,107671,2023-10-30 17:50:13,0,55.0,1.0,1.0
392.0,3.0,1.0,436186511R108659,1895627954.0,327.0,3.0,1.0,1895627954,107671,2023-10-26 07:53:25,0,65.0,0.0,0.0
173.0,12.0,1.0,436186421R319493,188770666587.0,118.0,11.0,0.0,188770666587,107671,2023-10-30 20:05:57,0,55.0,1.0,1.0
90.0,1.0,0.0,436182141R815953,195255234000.0,37.0,2.0,1.0,195255234000,107671,2023-10-09 02:05:50,0,53.0,-1.0,-1.0
173.0,12.0,1.0,436186121R320870,188770666587.0,118.0,11.0,0.0,188770666587,107671,2023-10-30 20:14:43,0,55.0,1.0,1.0
403.0,18.0,0.0,4648493665R29646,763796353.0,348.0,18.0,0.0,763796353,107891,2023-10-25 21:31:51,0,55.0,0.0,0.0
410.0,7.0,0.0,436185701R375486,2327007222.0,303.0,7.0,0.0,2327007222,107891,2023-10-19 21:55:12,0,107.0,0.0,0.0
246.0,0.0,0.0,436185701R455576,154673938412.0,106.0,0.0,0.0,154673938412,108706,2023-10-21 14:50:56,0,140.0,0.0,0.0
396.0,0.0,0.0,436186491R268638,1229563358.0,330.0,0.0,0.0,1229563358,108706,2023-10-29 19:08:19,0,66.0,0.0,0.0
341.0,0.0,0.0,436182461R810113,137815678.0,254.0,0.0,0.0,137815678,108706,2023-10-08 22:16:49,0,87.0,0.0,0.0
574.0,0.0,0.0,436185741R80397,2051564740.0,349.0,0.0,0.0,2051564740,108706,2023-10-13 22:33:27,0,225.0,0.0,0.0
243.0,0.0,0.0,436182141R870568,190347214222.0,106.0,0.0,0.0,190347214222,108706,2023-10-10 13:14:39,0,137.0,0.0,0.0
429.0,0.0,0.0,436182181R771283,1217911765.0,365.0,0.0,0.0,1217911765,108706,2023-10-07 19:01:32,0,64.0,0.0,0.0
465.0,0.0,0.0,436182141R455539,1186562220.0,342.0,0.0,0.0,1186562220,108706,2023-10-01 13:17:05,0,123.0,0.0,0.0
276.0,0.0,0.0,436185801R543141,169765290360.0,138.0,0.0,0.0,169765290360,108706,2023-10-23 22:07:04,0,138.0,0.0,0.0
453.0,0.0,0.0,436186421R189975,98755307.0,246.0,0.0,0.0,98755307,108706,2023-10-27 19:37:55,0,207.0,0.0,0.0
451.0,0.0,0.0,436186101R34101,2550786297.0,380.0,0.0,0.0,2550786297,108706,2023-10-24 17:38:59,0,71.0,0.0,0.0
172.0,0.0,0.0,436182281R700686,161557895022.0,118.0,0.0,0.0,161557895022,108706,2023-10-06 06:55:26,0,54.0,0.0,0.0
452.0,0.0,0.0,436182141R481826,2375120541.0,368.0,0.0,0.0,2375120541,108706,2023-10-02 04:27:10,0,84.0,0.0,0.0
241.0,0.0,0.0,436182251R717377,165813600618.0,166.0,0.0,0.0,165813600618,108706,2023-10-06 16:54:13,0,75.0,0.0,0.0
215.0,0.0,0.0,436185741R243747,148638550156.0,147.0,0.0,0.0,148638550156,108706,2023-10-17 18:30:27,0,68.0,0.0,0.0
120.0,0.0,0.0,436185701R146046,181296812444.0,59.0,0.0,0.0,181296812444,108706,2023-10-15 18:16:52,0,61.0,0.0,0.0
489.0,0.0,0.0,436185691R222170,555310177.0,330.0,0.0,0.0,555310177,108706,2023-10-17 08:12:42,0,159.0,0.0,0.0
